iteration,total_loss,train/fps,train/sec_sample,eval/fps,eval/sec_sample,PQ,mAP@50,mean_uncertainty,SQ,RQ,mAP,mAP@25,perf/val_sec_sample,perf/val_fps
143,36.41825568955392,0.6774697197036661,1.4760808269998051,49.66738127608373,0.1006696924930818,0.0,0.0,0.0153495312875343,0.0,0.0,0.0,0.0,0.1006696924930818,49.66738127608373
287,36.74279367178679,0.6806386948439972,1.469208270999843,45.59678346048633,0.1096568577985976,0.0769318105232683,0.0536493881817622,0.0455495523702767,63.50720958695805,0.1211387038158691,0.0125369789638374,0.7288556862165031,0.1096568577985976,45.59678346048633
431,27.93031849712133,0.6802894050401829,1.469962788999737,39.182805506807775,0.1276069933055529,0.5193837363537852,0.1439289516619756,0.0791989667341113,54.34394041428027,0.9557344064386318,0.0162368150458929,13.4088235021372,0.1276069933055529,39.182805506807775
575,26.002211121842265,0.8515670925489753,1.1828984915000549,38.42706727813709,0.1301166171180783,2.110047305710023,0.9498904257536528,0.0919599704858329,55.53945943958168,3.799185888738128,0.1540343256461237,27.20475712341705,0.1301166171180783,38.42706727813709
719,31.33490665163845,0.683709157875633,1.4626102350000565,38.612279770453625,0.1294924834722148,3.96751695647427,2.602194029206496,0.0486000439203861,55.85155303801464,7.103682423609298,0.5046358549538291,39.19135903796128,0.1294924834722148,38.612279770453625
863,26.214582422748208,0.6829353215379128,1.4642676410003332,39.09593347970141,0.1278905388611835,7.122206274155807,7.974677713862394,0.0529276655676464,58.02677186433579,12.274000509294629,1.7346784022896249,44.94131438002256,0.1278905388611835,39.09593347970141
1007,26.608877713792022,0.679877033661697,1.470854724000219,43.54476631784241,0.1148243617500194,9.81949338641798,12.295165593716764,0.0543498095745841,58.15027314719596,16.886409736308316,2.732643266252948,45.064536747309866,0.1148243617500194,43.54476631784241
1151,17.824652143754065,0.6833327878527264,1.463417102999756,41.42590526264537,0.1206974227430729,12.987712610204063,16.91635250784932,0.0985391089796192,59.9040002976266,21.680876979293544,4.630968059423762,46.622241645972686,0.1206974227430729,41.42590526264537
1295,28.053942155092955,0.6840293892903597,1.4619254994995572,48.19129129882128,0.103753185798578,13.731807841241714,16.792551907160366,0.0872772496400608,60.16894296027956,22.822085889570552,4.174360845836243,51.64164475084447,0.103753185798578,48.19129129882128
1439,18.017122029326856,0.6790862634601789,1.47256701500055,41.64178379951044,0.1200717054791198,20.57563874252893,28.83455522170571,0.0922629079884952,62.58794584307503,32.874762808349146,8.813188568559045,61.03650682528151,0.1200717054791198,41.64178379951044
1583,12.776260851882398,0.680672922156004,1.46913442999994,41.9982828256585,0.1190524865208367,24.39673677061526,31.96269307897281,0.0974844988538987,61.82654420500457,39.45997157745145,9.07208369360109,66.76828478899047,0.1190524865208367,41.9982828256585
1727,21.222489817999303,0.7324607100251518,1.3713058845000887,43.04123832417056,0.1161676614028124,30.686841807066408,42.87498992024961,0.0974688773664335,64.18842882475107,47.80743565300286,14.68631652006955,69.0919421317313,0.1161676614028124,43.04123832417056
1871,18.10307367891073,0.6849881981192888,1.4598961389997385,43.0768306215228,0.1160716776944544,32.95460792972029,46.25691084108141,0.0866015595901343,64.2829642576946,51.26491646778043,15.406737415721976,69.59176730092153,0.1160716776944544,43.0768306215228
2015,20.15102228336036,0.6826565324322877,1.4648661365004043,42.81150021202797,0.1167910485555757,31.87103015910533,43.78016383752957,0.0821400592621001,64.43827214207461,49.459783913565424,14.893732330940582,72.2544770499806,0.1167910485555757,42.81150021202797
2159,16.079333123750985,0.7773364973547118,1.2864460195000902,41.95758221444213,0.1191679724166508,34.34712796339869,49.90280893642161,0.071987062278721,64.702562676997,53.08464849354376,17.624750414866334,74.5665749053497,0.1191679724166508,41.95758221444213
2303,25.52051336178556,0.7258967354249526,1.3822271930002898,42.87331062502019,0.1166226710069382,37.04429817090287,53.662366327006914,0.0712995644814024,65.44388649063463,56.60467334287077,19.61584092303953,75.01478670037186,0.1166226710069382,42.87331062502019
2447,17.622285516932607,0.6847276729281597,1.4604373724996549,49.337391304013096,0.1013430152638269,40.972027664267806,59.75713732759298,0.0691570082110249,66.98397955119935,61.16690578670493,23.726970282499494,76.22761692302066,0.1013430152638269,49.337391304013096
2591,24.604058643803,0.6836797839323668,1.4626736765003443,42.57013487604027,0.1174532336944543,41.7106937527228,59.81198809711362,0.0501068044557339,66.79477455793167,62.44604316546762,23.77816327908139,77.57016703790485,0.1174532336944543,42.57013487604027
2735,14.843770779669285,0.6829245304431424,1.4642907010011186,42.44274463135527,0.1178057650000836,41.46216610139631,60.8804990628072,0.0716424454520973,66.35482212004943,62.48553575561213,23.261316345454706,78.43406849315433,0.1178057650000836,42.44274463135527
2879,18.359408798627555,0.6824940390950847,1.4652142920003826,43.948396916228496,0.1137697925485352,42.41361166855924,62.0152201011279,0.0608150777665691,66.19000127545961,64.07857811038353,23.60077953218379,80.19886821366134,0.1137697925485352,43.948396916228496
3023,12.886653020046651,0.6843943113548994,1.4611485254999934,43.26516008448712,0.1155664278194308,42.66421802480974,62.67093087490239,0.0532431452431612,66.57732564950265,64.08220457730033,23.994784512002663,79.78508636920338,0.1155664278194308,43.26516008448712
