iteration,total_loss,train/fps,train/sec_sample,eval/fps,eval/sec_sample,PQ,mAP@50,mean_uncertainty,SQ,RQ,mAP,mAP@25,perf/val_sec_sample,perf/val_fps
143,45.46764223650098,0.6828869074656393,1.464371323000023,52.22802093633833,0.0957340506180502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957340506180502,52.22802093633833
287,34.985231277067214,0.6836731476910171,1.4626878895001028,46.45797484330838,0.1076241488541806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1076241488541806,46.45797484330838
431,41.1977060015779,0.6847813356512713,1.460320365500138,45.88857258449925,0.1089595888125087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1089595888125087,45.88857258449925
575,41.3775671927724,0.6813701094016829,1.467631407999761,45.7143299309294,0.1093748942083278,0.0801771481078686,0.0012657548670155,0.0,57.3266608971261,0.1398601398601398,0.0002798735272263,0.1554034137004313,0.1093748942083278,45.7143299309294
719,35.876840921118855,0.928736141491694,1.076732469000035,44.48827493551529,0.1123891633750102,0.0,0.0,0.0,0.0,0.0,0.0,0.8790071055820586,0.1123891633750102,44.48827493551529
863,37.62620820477605,0.6849341543467634,1.4599964124995497,45.05788132902031,0.1109683778402528,0.0979421137441849,0.0039863099721738,0.0,56.12083117541794,0.1745200698080279,0.0005331177653425,6.665934569498878,0.1109683778402528,45.05788132902031
1007,43.56782883405685,0.6852146929317311,1.4593986595000388,44.510504935654666,0.1123330325555305,1.1467728175217418,0.1514644192520851,0.0,56.06444885661849,2.0454545454545454,0.0276474758413913,12.308730571537223,0.1123330325555305,44.510504935654666
1151,32.976541018113494,0.6873718022211222,1.454821083999832,44.868769365726415,0.1114360850694361,1.420261615305765,0.1989700674778882,0.0,55.767932149931696,2.546735302086155,0.0352218131946913,20.69594246490492,0.1114360850694361,44.868769365726415
1295,24.209549968130887,0.6805551284174793,1.469388752499981,50.39212180250282,0.0992218589166782,3.25379304685088,2.450786115857424,0.0,57.17379210895117,5.691056910569105,0.4700656849214384,24.528705914078888,0.0992218589166782,50.39212180250282
1439,29.109060333110392,0.6846805383569929,1.4605351615000473,44.35311448509845,0.1127316549930191,4.932026866481188,4.168042743555279,0.0,58.639505476476906,8.41075794621027,0.9765463920186548,25.76419773146646,0.1127316549930191,44.35311448509845
1583,26.59055579639972,0.6853837591851866,1.459038386999964,42.78094769745171,0.116874456250015,12.079280278370588,13.623362025875874,0.0,65.27517563415587,18.505167027156933,5.852200213361001,31.18414871169101,0.116874456250015,42.78094769745171
1727,21.71473174728453,0.6804160539640159,1.469689064999784,45.03769779441109,0.1110181080485972,15.27212005328903,21.12997178604804,0.0,65.25214241715808,23.40477950234048,8.701023814696555,38.22812120452021,0.1110181080485972,45.03769779441109
1871,25.310948505997658,0.6848365452216216,1.4602040300001136,44.37205974189423,0.1126835226735983,17.556119678221123,24.629271821736456,0.0,67.46377062789115,26.02303357020338,11.527349591764168,41.78325261720235,0.1126835226735983,44.37205974189423
2015,22.563274345360696,0.6804820104638581,1.4695466159996613,44.049226229735446,0.1135093718541813,19.56626340323957,26.23949706636476,0.0,65.93390368680086,29.67557251908397,10.9675421319738,47.59149435265226,0.1135093718541813,44.049226229735446
2159,22.159589054062963,0.6871052691054567,1.4553819889997612,44.28703137737202,0.1128998680763844,23.455722817372564,29.678343832113622,0.0,66.09965978547753,35.48539114043356,12.63546324639908,53.186938350181336,0.1128998680763844,44.28703137737202
2303,32.86484006792307,0.6816976263857522,1.4669261650001315,44.7997590238809,0.1116077431875181,25.770338670117365,33.186448271312926,0.0,68.68747855653851,37.518248175182485,15.974469105503587,53.13387121718671,0.1116077431875181,44.7997590238809
2447,18.763457274995744,0.6863047905427302,1.457086803000493,50.76911053852,0.0984850817153149,26.113321771646635,33.65279318964838,0.0,68.08344616320859,38.35487661574618,15.975607813982007,52.18052333238844,0.0984850817153149,50.76911053852
2591,22.84574719890952,0.7340344474512981,1.3672591285003364,43.34114554432384,0.1153638173888743,25.66988402409807,33.650679658232654,0.0,67.77806024002541,37.87344154316632,15.179755772263109,52.87324161140218,0.1153638173888743,43.34114554432384
2735,22.41209731064737,0.6835097179042012,1.4630425674995422,44.69082376695298,0.1118797904928593,26.25566597871858,33.35207127524135,0.0,67.84310771143342,38.70056497175141,15.706565047718296,54.43968232273585,0.1118797904928593,44.69082376695298
2879,21.357543222606186,0.6900137826492776,1.4492571840000892,44.63549533872159,0.1120184723403857,25.97210191979532,32.97341263624647,0.0,68.2410549204523,38.059349976448416,15.501295182685752,54.26428473546391,0.1120184723403857,44.63549533872159
3023,20.13951420783997,0.6851402065308898,1.4595555744990634,44.70466834858191,0.1118451424583402,26.22699290515541,33.74516841763096,0.0,68.15698282820767,38.48027277155383,15.41287289536818,54.38255145628556,0.1118451424583402,44.70466834858191
3167,24.54791290313005,0.6852669551045752,1.4592855089995282,45.09318919869709,0.1108814898402544,26.98828002361604,33.75651378005261,0.0,67.95091856479839,39.71731448763251,15.53482148781892,56.89551867544783,0.1108814898402544,45.09318919869709
3311,22.95979939214885,0.780483612335098,1.2812577690010585,44.78466602454044,0.1116453564097178,27.217268534397853,33.65007817132271,0.0,68.34952684674911,39.8207124321774,15.85020359413534,54.26147695581511,0.1116453564097178,44.78466602454044
